idx,name,title,cate,source
415,박종일,브랜즈컴퍼니 대표,"AI/미래, 트렌드, IT, 모바일웹, 융합",https://www.hooh.kr/sub/teacher/next.asp?m_idx=415
342,한재권,로봇공학자,"AI/미래, 트렌드, 미래기술, 로봇, 융합,인문학, 과학,경영/조직, 스타트업",https://www.hooh.kr/sub/teacher/next.asp?m_idx=342
343,신상옥,힐링원예치료가,"건강, 식이요법,힐링, 마음, 나눔",https://www.hooh.kr/sub/teacher/next.asp?m_idx=343
468,노규식,노규식공부두뇌연구원 원장,"인문학, 뇌과학,건강, 의학, 심리, 정신,교육, 자녀교육, 공부법, 육아, 인성, 부모교육",https://www.hooh.kr/sub/teacher/next.asp?m_idx=468
469,김성은,김성은 발달음악연구원 원장,"인문학, 음악,소통, 커뮤니케이션,교육, 자녀교육, 육아",https://www.hooh.kr/sub/teacher/next.asp?m_idx=469
470,백수연,한국청소년재단 독산청소년문화의집 관장,"동기부여, 자기계발, 꿈, 비전,취업, 진로",https://www.hooh.kr/sub/teacher/next.asp?m_idx=470
471,이준형,에듀콘 대표,"동기부여, 열정, 인생스토리, 도전, 삶의자세, 꿈,힐링, 행복, 공연&강연,취업, 진로",https://www.hooh.kr/sub/teacher/next.asp?m_idx=471
472,유근용,"작가, 부동산컨설턴트","동기부여, 자기계발,경제, 부동산, 재테크, 투자, 경매,교육, 독서법, 글쓰기",https://www.hooh.kr/sub/teacher/next.asp?m_idx=472
473,선현우,Talk to me in korea 대표,"동기부여, 열정, 프로정신, 인생스토리, 자기계발,교육, 자녀교육, 공부법,취업, 진로",https://www.hooh.kr/sub/teacher/next.asp?m_idx=473
474,양소영,변호사,"동기부여, 삶의자세, 비전,소통, 커뮤니케이션, 관계, 가족, 부부,교육, 자녀교육, 여성학, 부모교육,힐링, 자존감",https://www.hooh.kr/sub/teacher/next.asp?m_idx=474
476,문성욱,문선생의 독설사탐 대표,"인문학, 고전, 철학, 문화",https://www.hooh.kr/sub/teacher/next.asp?m_idx=476
477,김태용,클래식 칼럼니스트,"인문학, 예술, 세계, 음악,힐링",https://www.hooh.kr/sub/teacher/next.asp?m_idx=477
478,이장주,이락디지털문화연구소 소장,"소통,심리",https://www.hooh.kr/sub/teacher/next.asp?m_idx=478
479,박호근,하프타임코리아 대표,"동기부여, 인생스토리, 삶의자세, 자기계발, 비전,경제, 노후,소통, 가족, 부부,취업, 인생이모작",https://www.hooh.kr/sub/teacher/next.asp?m_idx=479
480,최형욱,퓨처디자이너스 대표,"AI/미래, 트렌드, IT, 미래기술, 사물인터넷, 비즈니스, 메타버스,경제",https://www.hooh.kr/sub/teacher/next.asp?m_idx=480
481,오준원,㈜젬블로 대표이사,"자기계발,인문학, 세계, 문화,교육, 자녀교육,힐링",https://www.hooh.kr/sub/teacher/next.asp?m_idx=481
482,김헌식,"문화평론가,교육인, 경제평론가","인문학, 역사, 예술, 문화, 한국사",https://www.hooh.kr/sub/teacher/next.asp?m_idx=482
457,김기태,김기태의 공감스피치아카데미 원장,"소통, 스피치, 프레젠테이션,건강, 스트레스, 심리,힐링, 행복,취업, 면접",https://www.hooh.kr/sub/teacher/next.asp?m_idx=457
458,이수연,한국스피치교육연구소 소장,"소통, 커뮤니케이션, 관계, 스피치, 프레젠테이션,퍼스널브랜딩, 이미지메이킹,취업, 면접",https://www.hooh.kr/sub/teacher/next.asp?m_idx=458
459,마크테토,기업인,"인문학, 예술, 문화,경영/조직, 경영, 조직문화, CEO, 창업, 스타트업,창의/마케팅, 콘텐츠,취업",https://www.hooh.kr/sub/teacher/next.asp?m_idx=459
460,고란,유튜브 ‘알고란’ 채널 대표,"경제, 금융, 주식, 자산관리, 경제전망, 재테크, 투자, 디지털자산",https://www.hooh.kr/sub/teacher/next.asp?m_idx=460
461,이승엽,전) 야구선수,"동기부여, 열정, 프로정신, 인생스토리, 도전, 성공, 마인드셋,경영/조직, 리더십",https://www.hooh.kr/sub/teacher/next.asp?m_idx=461
462,조진표,"기업인, 컨설턴트","교육, 자녀교육, 부모교육,취업, 진로",https://www.hooh.kr/sub/teacher/next.asp?m_idx=462
463,김나옥,벤자민인성영재학교 교장,"인문학, 뇌과학,교육, 자녀교육, 공부법, 인성, 부모교육,창의/마케팅, 창의력,취업, 진로",https://www.hooh.kr/sub/teacher/next.asp?m_idx=463
464,정상진,성과경영연구소 대표,"경영/조직, 경영, 리더십, 조직문화, 조직관리, 목표관리, 조직활성화, 경영전략, 위기관리, 협력, 협업, 상생,소통, 커뮤니케이션",https://www.hooh.kr/sub/teacher/next.asp?m_idx=464
