goIdx,name,category,catNo,desc,source
4539,최하람,가수,81,뮤지컬을 사랑하는 피아노 천재,https://www.artsro.com/right/enter_view.html?GoIdx=4539&CatNo=81
4536,기세중,가수,81,귀여운 외모와는 상반되는 중저음이 매력적인 뮤지컬 배우,https://www.artsro.com/right/enter_view.html?GoIdx=4536&CatNo=81
4533,백형훈,가수,81,뮤지컬 배우 겸 흉스프레소의 멤버,https://www.artsro.com/right/enter_view.html?GoIdx=4533&CatNo=81
4532,윤형렬,가수,81,'곰미남'이라는 별명을 가진 가수 겸 뮤지컬 배우,https://www.artsro.com/right/enter_view.html?GoIdx=4532&CatNo=81
4530,한지상,가수,81,믿고 보는 뮤지컬배우,https://www.artsro.com/right/enter_view.html?GoIdx=4530&CatNo=81
4529,브래드 리틀(Brad Little),가수,81,베리모어어워드 뮤지컬부문 남우주연상,https://www.artsro.com/right/enter_view.html?GoIdx=4529&CatNo=81
4525,유리아,가수,81,완벽한 가창력의 소유자,https://www.artsro.com/right/enter_view.html?GoIdx=4525&CatNo=81
4320,진원,가수,81,'팬텀싱어 4'의 우승팀 리베란테 테너,https://www.artsro.com/right/enter_view.html?GoIdx=4320&CatNo=81
4227,최재림,가수,81,무대 위의 팔색조의 매력을 보여주는 배우,https://www.artsro.com/right/enter_view.html?GoIdx=4227&CatNo=81
4217,이태이,가수,81,그룹 억스 보컬이자 뮤지컬 배우,https://www.artsro.com/right/enter_view.html?GoIdx=4217&CatNo=81
4045,최지혜,가수,81,다양한 작품으로 매력을 선보이고 있는 배우!,https://www.artsro.com/right/enter_view.html?GoIdx=4045&CatNo=81
4044,윤소호,가수,81,소년 캐릭터에서 본인만의 장점을 극대화시키는 배우!,https://www.artsro.com/right/enter_view.html?GoIdx=4044&CatNo=81
3996,조환지,가수,81,"공연 및 페스티벌, 이벤트에 적합한 가수!",https://www.artsro.com/right/enter_view.html?GoIdx=3996&CatNo=81
3918,문미향,가수,81,"달빛처럼 아름다운 목소리, 재즈 보컬리스트 문미향",https://www.artsro.com/right/enter_view.html?GoIdx=3918&CatNo=81
3914,황건우,가수,81,뮤지컬 배우,https://www.artsro.com/right/enter_view.html?GoIdx=3914&CatNo=81
3855,김경록,가수,81,선한 매력이 돋보이는 뮤지컬 배우!,https://www.artsro.com/right/enter_view.html?GoIdx=3855&CatNo=81
3854,김원빈,가수,81,매력적인 눈매를 가진 뮤지컬 배우!,https://www.artsro.com/right/enter_view.html?GoIdx=3854&CatNo=81
3544,정선아,가수,81,무대를 사로잡는 노래 '정선아',https://www.artsro.com/right/enter_view.html?GoIdx=3544&CatNo=81
3375,대니 구 (Danny Koo),가수,81,"세상과 소통하는 바이올리니스트, 노래하는 바이올리니스트",https://www.artsro.com/right/enter_view.html?GoIdx=3375&CatNo=81
3358,크레즐,가수,81,팬텀싱어4 TOP 3,https://www.artsro.com/right/enter_view.html?GoIdx=3358&CatNo=81
3307,강동우,가수,81,뮤지컬 배우,https://www.artsro.com/right/enter_view.html?GoIdx=3307&CatNo=81
3306,김승용,가수,81,뮤지컬배우,https://www.artsro.com/right/enter_view.html?GoIdx=3306&CatNo=81
3305,전재홍,가수,81,뮤지컬 배우,https://www.artsro.com/right/enter_view.html?GoIdx=3305&CatNo=81
3304,원종환,가수,81,뮤지컬 배우,https://www.artsro.com/right/enter_view.html?GoIdx=3304&CatNo=81
3113,윤한,가수,81,천재 피아니스트,https://www.artsro.com/right/enter_view.html?GoIdx=3113&CatNo=81
3023,곽동현,가수,81,히든싱어 모창 능력자 원킬,https://www.artsro.com/right/enter_view.html?GoIdx=3023&CatNo=81
2961,김호영,가수,81,호이스럽다 HOY 김호영,https://www.artsro.com/right/enter_view.html?GoIdx=2961&CatNo=81
2728,이한범,가수,81,팬텀싱어4 핵인싸 바리톤 감성적인 목소리의 반전미,https://www.artsro.com/right/enter_view.html?GoIdx=2728&CatNo=81
2723,박강현,가수,81,"미라클라스 멤버이자, 도화지같은 배우",https://www.artsro.com/right/enter_view.html?GoIdx=2723&CatNo=81
2710,임형주,가수,81,팝페라계의 '선구자'이자 세계 팝페라계의 '월드스타',https://www.artsro.com/right/enter_view.html?GoIdx=2710&CatNo=81
2658,양지 (Yangji),가수,81,차세대 재즈디바이자 음악감독,https://www.artsro.com/right/enter_view.html?GoIdx=2658&CatNo=81
2654,류승주,가수,81,뮤지컬배우 류승주,https://www.artsro.com/right/enter_view.html?GoIdx=2654&CatNo=81
2645,임태경,가수,81,대한민국의 성악가이자 뮤지컬 배우,https://www.artsro.com/right/enter_view.html?GoIdx=2645&CatNo=81
2465,엘볼렌테,가수,81,"팬텀싱어 시즌1,2,3 멤버들로 구성된",https://www.artsro.com/right/enter_view.html?GoIdx=2465&CatNo=81
2408,인치엘로,가수,81,대한민국 제１세대 팝페라 그룹,https://www.artsro.com/right/enter_view.html?GoIdx=2408&CatNo=81
2403,김광민,가수,81,대한민국 대표 피아노연주가이자 동덕여자대학교 공연예술대학 실용음악과 교수,https://www.artsro.com/right/enter_view.html?GoIdx=2403&CatNo=81
2398,곽정,가수,81,하피스트 곽정,https://www.artsro.com/right/enter_view.html?GoIdx=2398&CatNo=81
2254,이석준,가수,81,뮤지컬 배우이자 가수 이석준입니다,https://www.artsro.com/right/enter_view.html?GoIdx=2254&CatNo=81
2253,정승원,가수,81,뮤지컬 배우 정승원,https://www.artsro.com/right/enter_view.html?GoIdx=2253&CatNo=81
2178,양방언,가수,81,"피아니스트, 뉴에이지 음악 작곡가",https://www.artsro.com/right/enter_view.html?GoIdx=2178&CatNo=81
2157,유성녀,가수,81,유학파 이태리 돌고래 소프라노 '유성녀',https://www.artsro.com/right/enter_view.html?GoIdx=2157&CatNo=81
2145,송은혜,가수,81,아름다운 목소리의 팝페라 여성 솔로,https://www.artsro.com/right/enter_view.html?GoIdx=2145&CatNo=81
2117,정경,가수,81,오페라마를 통한 클래식 음악의 저변 확대를 위해 노력하는 바리톤 '정경',https://www.artsro.com/right/enter_view.html?GoIdx=2117&CatNo=81
1641,윤석철,가수,81,아티스트 맞춤형 음악을 재즈 사운드로 풀어나가는 재즈뮤지션,https://www.artsro.com/right/enter_view.html?GoIdx=1641&CatNo=81
1638,조형균,가수,81,탁월한 성량과 원숙한 연기를 보여주는 뮤지컬 배우,https://www.artsro.com/right/enter_view.html?GoIdx=1638&CatNo=81
1637,이충주,가수,81,멋진 음색과 넓은 음역대의 타고난 감각의 프로듀서형 보이스 뮤지컬 배우,https://www.artsro.com/right/enter_view.html?GoIdx=1637&CatNo=81
1636,김동현,가수,81,"에델 라인클랑 최장, 최저음 바리톤",https://www.artsro.com/right/enter_view.html?GoIdx=1636&CatNo=81
1635,안세권,가수,81,루치아노 파바로티와 음색이 비슷한 세바로티,https://www.artsro.com/right/enter_view.html?GoIdx=1635&CatNo=81
1624,김동규,가수,81,10월에 어느 멋진 날에,https://www.artsro.com/right/enter_view.html?GoIdx=1624&CatNo=81
1619,마이클 리,가수,81,브로드웨이에서 활동했던 뮤지컬배우,https://www.artsro.com/right/enter_view.html?GoIdx=1619&CatNo=81
1615,유채훈,가수,81,팬텀싱어 3 최종우승 팀 라포엠 소속 팝페라가수,https://www.artsro.com/right/enter_view.html?GoIdx=1615&CatNo=81
1516,김진수,가수,81,코미디언 겸 배우,https://www.artsro.com/right/enter_view.html?GoIdx=1516&CatNo=81
1507,주형진,가수,81,팝재즈 싱어송라이터,https://www.artsro.com/right/enter_view.html?GoIdx=1507&CatNo=81
1347,배두훈,가수,81,뮤지컬배우 출신의 포레스텔라 멤버,https://www.artsro.com/right/enter_view.html?GoIdx=1347&CatNo=81
1291,임정모,가수,81,대한민국의 뮤지컬 배우,https://www.artsro.com/right/enter_view.html?GoIdx=1291&CatNo=81
1287,전나영,가수,81,동양인 최초 웨스트엔드 '레미제라블' 주역,https://www.artsro.com/right/enter_view.html?GoIdx=1287&CatNo=81
1255,이정화,가수,81,마음이 정화되는 목소리의 뮤지컬배우,https://www.artsro.com/right/enter_view.html?GoIdx=1255&CatNo=81
1196,아이비,가수,81,TOP 여자가수에서 TOP뮤지컬 DIVA로 돌아온 그녀,https://www.artsro.com/right/enter_view.html?GoIdx=1196&CatNo=81
1163,이도희,가수,81,보이스퀸Top7 / 뮤지컬 기반인 탄탄한 보컬,https://www.artsro.com/right/enter_view.html?GoIdx=1163&CatNo=81
1160,민우혁,가수,81,"뮤지컬계의 가장 무서운 상승세, 대세배우",https://www.artsro.com/right/enter_view.html?GoIdx=1160&CatNo=81
1116,포레스텔라,가수,81,KBS “불후의 명곡”이 인정한 국내 제일의 크로스오버 그룹,https://www.artsro.com/right/enter_view.html?GoIdx=1116&CatNo=81
1104,옥주현,가수,81,"#핑클#61,62대 복면가왕#옥리자벳",https://www.artsro.com/right/enter_view.html?GoIdx=1104&CatNo=81
995,김준수,가수,81,숨소리만 들어도 전율이 흐르는 공연킹 '김준수',https://www.artsro.com/right/enter_view.html?GoIdx=995&CatNo=81
646,이윤하,가수,81,무대 위 빛나는 존재감 다채로운 매력의 '이윤하',https://www.artsro.com/right/enter_view.html?GoIdx=646&CatNo=81
644,양지원,가수,81,남다른 감성과 노련함으로 작품에 무게를 더하는 '양지원',https://www.artsro.com/right/enter_view.html?GoIdx=644&CatNo=81
642,최서연,가수,81,풍성한 감성 표현과 맑은 음색으로 무대를 채우는 싱그러운 '최서연',https://www.artsro.com/right/enter_view.html?GoIdx=642&CatNo=81
641,이승헌,가수,81,"300대1 경쟁률 뚫고 데뷔, 앞으로 활약상이 기대되는 신예 '이승헌'",https://www.artsro.com/right/enter_view.html?GoIdx=641&CatNo=81
639,임준혁,가수,81,연기력과 가창력을 두루 갖춘 주목해야 할 초특급 '임준혁',https://www.artsro.com/right/enter_view.html?GoIdx=639&CatNo=81
638,김찬호,가수,81,매력적인 마스크와 안정적인 연기력. 무대 위 빛나는 존재감 '김찬호',https://www.artsro.com/right/enter_view.html?GoIdx=638&CatNo=81
636,장지후,가수,81,강렬한 존재감을 남기는 매력적인 보이스. 쥬뗌므 '장지후',https://www.artsro.com/right/enter_view.html?GoIdx=636&CatNo=81
635,송유택,가수,81,발군의 실력으로 무한한 잠재력을 인정 받은 슈퍼루키 '송유택',https://www.artsro.com/right/enter_view.html?GoIdx=635&CatNo=81
634,이하나,가수,81,탁월한 재능과 매력으로 관객을 매혹시키는 '이하나',https://www.artsro.com/right/enter_view.html?GoIdx=634&CatNo=81
633,이지수,가수,81,"감성을 자극하는 아름다운 목소리, 보석같은 신예 '이지수'",https://www.artsro.com/right/enter_view.html?GoIdx=633&CatNo=81
632,고훈정 (고윤준),가수,81,다양한 장르와 캐릭터를 아우르며 도전을 두려워하지 않는 카리스마 '고훈정',https://www.artsro.com/right/enter_view.html?GoIdx=632&CatNo=81
631,지혜근,가수,81,스펙트럼 넓은 연기로 그 어떤 역할도 지혜롭게 척척 '지혜근,https://www.artsro.com/right/enter_view.html?GoIdx=631&CatNo=81
629,최수진,가수,81,청순한 외모와 매력적인 목소리 자체발광 빛나는 '최수진',https://www.artsro.com/right/enter_view.html?GoIdx=629&CatNo=81
628,이예은,가수,81,신비로운 마스크와 매력적인 목소리의 당찬 라이징 스타 '이예은',https://www.artsro.com/right/enter_view.html?GoIdx=628&CatNo=81
627,송용진,가수,81,끝없이 도전하는 대체불가능한 배우 '송용진',https://www.artsro.com/right/enter_view.html?GoIdx=627&CatNo=81
626,김지현,가수,81,무대를 압도하는 카리스마.한국인 최초 극단 시키 수석 배우 '김지현',https://www.artsro.com/right/enter_view.html?GoIdx=626&CatNo=81
384,민영기,가수,81,대극장 뚜껑을 날려버리고 지붕을 뚫는 압도적인 성량 믿고 보는 배우 '민영기',https://www.artsro.com/right/enter_view.html?GoIdx=384&CatNo=81
2265,장사익,가수,82,가장 한국적인 느낌으로 노래를 부르는 가수,https://www.artsro.com/right/enter_view.html?GoIdx=2265&CatNo=82
1268,AUX(억스),가수,82,"풍류대장  3위 , 힙한 혼성 퓨전 국악 밴드",https://www.artsro.com/right/enter_view.html?GoIdx=1268&CatNo=82
1169,조엘라,가수,82,"보이스퀸 2위, '난감하네'의 원곡자이며 만능소리꾼",https://www.artsro.com/right/enter_view.html?GoIdx=1169&CatNo=82
4697,박다울,가수,82,"거문고 연주자, 국악인",https://www.artsro.com/right/enter_view.html?GoIdx=4697&CatNo=82
4486,어느일상,가수,82,"평범한 일상 속, 특별함을 노래하는 밴드",https://www.artsro.com/right/enter_view.html?GoIdx=4486&CatNo=82
4230,임재현,가수,82,JTBC 풍류대장 TOP10,https://www.artsro.com/right/enter_view.html?GoIdx=4230&CatNo=82
3076,팝핀현준&박애리,가수,82,팝핀댄스 X 국악인의 만남,https://www.artsro.com/right/enter_view.html?GoIdx=3076&CatNo=82
2568,유태평양 (Yu Taepyungyang),가수,82,한국의 자긍심을 노래하는 소리꾼,https://www.artsro.com/right/enter_view.html?GoIdx=2568&CatNo=82
1915,최예림,가수,82,"조회수가 증명하는 대중적 파급력, 무대를 압도하는 국악의 '힙'한 변주",https://www.artsro.com/right/enter_view.html?GoIdx=1915&CatNo=82
1562,해음,가수,82,국악 어쿠스틱 밴드,https://www.artsro.com/right/enter_view.html?GoIdx=1562&CatNo=82
1561,최재구,가수,82,국무총리상 수상한 소리꾼,https://www.artsro.com/right/enter_view.html?GoIdx=1561&CatNo=82
1560,온도(OWNDO),가수,82,"음악으로 ""마음의 온도""를 높이는 밴드",https://www.artsro.com/right/enter_view.html?GoIdx=1560&CatNo=82
1480,AUX(억스) 밴드,가수,82,풍류대장 3위의 완전체 밴드,https://www.artsro.com/right/enter_view.html?GoIdx=1480&CatNo=82
1391,고래야,가수,82,세계가 인정한 월드뮤직그룹,https://www.artsro.com/right/enter_view.html?GoIdx=1391&CatNo=82
1375,공명,가수,82,전통음악의 다양성과 새로운소리를 창츨하는 월드뮤직그룹,https://www.artsro.com/right/enter_view.html?GoIdx=1375&CatNo=82
1367,하윤주,가수,82,정가의 여신,https://www.artsro.com/right/enter_view.html?GoIdx=1367&CatNo=82
1272,이봉근,가수,82,연기하는 소리꾼,https://www.artsro.com/right/enter_view.html?GoIdx=1272&CatNo=82
1269,이상,가수,82,"풍류대장 5위,  상상 그이상의 신명나는 풍물밴드",https://www.artsro.com/right/enter_view.html?GoIdx=1269&CatNo=82
1267,박애리,가수,82,대장금 '오나라'의 주인공,https://www.artsro.com/right/enter_view.html?GoIdx=1267&CatNo=82
1266,소리꾼 김준수,가수,82,국악계 아이돌,https://www.artsro.com/right/enter_view.html?GoIdx=1266&CatNo=82
1262,잠비나이,가수,82,포스트록과 국악의 환상적 만남,https://www.artsro.com/right/enter_view.html?GoIdx=1262&CatNo=82
1257,악단광칠,가수,82,떼창과 떼춤을 부르는 업그레이드 된 현대적 감성,https://www.artsro.com/right/enter_view.html?GoIdx=1257&CatNo=82
1248,이날치,가수,82,범내려온다의 주인공,https://www.artsro.com/right/enter_view.html?GoIdx=1248&CatNo=82
1247,서도밴드,가수,82,조선팝의 창시자,https://www.artsro.com/right/enter_view.html?GoIdx=1247&CatNo=82
1164,이미리,가수,82,보이스퀸Top14 / 송가인 잡으러 온 만능소리꾼,https://www.artsro.com/right/enter_view.html?GoIdx=1164&CatNo=82
